mravet :
Nombre de connexions=1570
Dernière connexion =2018-05-09
Journal de connexions :
[userid=mravet, action=login, issystemadmin=false, groups=["VDS_TOULOUSE","VDSMultiTenantSupervisor","VDSMultiTenantVDS_TOULOUSELocalAuthority"], isadmin=false, date= 2018-05-03
, userid=mravet, action=login, issystemadmin=false, groups=["VDS_TOULOUSE","VDSMultiTenantVDS_TOULOUSELocalAuthority","VDSMultiTenantSupervisor"], isadmin=false, date= 2018-05-09
, userid=mravet, action=login, issystemadmin=false, groups=["VDS_TOULOUSE","VDSMultiTenantSupervisor","VDSMultiTenantVDS_TOULOUSELocalAuthority"], isadmin=false, date= 2018-05-09
, userid=mravet, action=login, issystemadmin=false, groups=["VDSMultiTenantSupervisor","VDSMultiTenantVDS_TOULOUSELocalAuthority","VDS_TOULOUSE"], isadmin=false, date= 2018-05-09
, userid=mravet, action=login, issystemadmin=false, groups=["VDSMultiTenantVDS_TOULOUSELocalAuthority","VDS_TOULOUSE","VDSMultiTenantSupervisor"], isadmin=false, date= 2018-05-09
, userid=mravet, action=login, issystemadmin=false, groups=["VDS_TOULOUSE","VDSMultiTenantSupervisor","VDSMultiTenantVDS_TOULOUSELocalAuthority"], isadmin=false, date= 2018-05-09
, userid=mravet, action=login, issystemadmin=false, groups=["VDSMultiTenantSupervisor","VDS_TOULOUSE","VDSMultiTenantVDS_TOULOUSELocalAuthority"], isadmin=false, date= 2018-05-09
, userid=mravet, action=login, issystemadmin=false, groups=["VDS_TOULOUSE","VDSMultiTenantVDS_TOULOUSELocalAuthority","VDSMultiTenantSupervisor"], isadmin=false, date= 2018-05-09
, userid=mravet, action=login, issystemadmin=false, groups=["VDSMultiTenantVDS_TOULOUSELocalAuthority","VDSMultiTenantSupervisor","VDS_TOULOUSE"], isadmin=false, date= 2018-05-09
, userid=mravet, action=login, issystemadmin=false, groups=["VDS_TOULOUSE","VDSMultiTenantVDS_TOULOUSELocalAuthority","VDSMultiTenantSupervisor"], isadmin=false, date= 2018-05-09
, userid=mravet, action=login, issystemadmin=false, groups=["VDSMultiTenantSupervisor","VDSMultiTenantVDS_TOULOUSELocalAuthority","VDS_TOULOUSE"], isadmin=false, date= 2018-05-09
, userid=mravet, action=login, issystemadmin=false, groups=["VDSMultiTenantVDS_TOULOUSELocalAuthority","VDS_TOULOUSE","VDSMultiTenantSupervisor"], isadmin=false, date= 2018-05-09
, userid=mravet, action=login, issystemadmin=false, groups=["VDSMultiTenantVDS_TOULOUSELocalAuthority","VDSMultiTenantSupervisor","VDS_TOULOUSE"], isadmin=false, date= 2018-05-09
, userid=mravet, action=login, issystemadmin=false, groups=["VDSMultiTenantVDS_TOULOUSELocalAuthority","VDS_TOULOUSE","VDSMultiTenantSupervisor"], isadmin=false, date= 2018-05-09
, userid=mravet, action=login, issystemadmin=false, groups=["VDSMultiTenantSupervisor","VDSMultiTenantVDS_TOULOUSELocalAuthority","VDS_TOULOUSE"], isadmin=false, date= 2018-05-09
, userid=mravet, action=login, issystemadmin=false, groups=["VDSMultiTenantSupervisor","VDS_TOULOUSE","VDSMultiTenantVDS_TOULOUSELocalAuthority"], isadmin=false, date= 2018-05-09
, userid=mravet, action=login, issystemadmin=false, groups=["VDS_TOULOUSE","VDSMultiTenantSupervisor","VDSMultiTenantVDS_TOULOUSELocalAuthority"], isadmin=false, date= 2018-05-09
, userid=mravet, action=login, issystemadmin=false, groups=["VDS_TOULOUSE","VDSMultiTenantSupervisor","VDSMultiTenantVDS_TOULOUSELocalAuthority"], isadmin=false, date= 2018-05-09
, userid=mravet, action=login, issystemadmin=false, groups=["VDS_TOULOUSE","VDSMultiTenantVDS_TOULOUSELocalAuthority","VDSMultiTenantSupervisor"], isadmin=false, date= 2018-05-09
